Metropolitan Core Based Statistical Area FIPS Code,Household-type of living quarters,Household-own/rent living quarters,Household-total family income in past 12 months,Demographics-highest level of school completed,Labor Force-employment status,Demographics-sex,Demographics-marital status,Weight-composited final weight,Household-total # of members,Weight-family,Weight-longitudinal weight,Weight-outgoing rotation weight,Weight-second stage weight (rake 6 final step weight),Year,Month
"Wichita, KS","House, Apartment, Flat",Rented for cash,"10,000 To 12,499",High School Grad-Diploma Or Equiv (ged),Retired-Not In Labor Force,Female,Divorced,1813.9639,2,1779.2898,0.0000,0.0000,1779.2898,2022,jan
0,"House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"150,000 or More","Bachelor's Degree(ex:ba,ab,bs)",Employed-At Work,Male,Married - Spouse Present,736.0633,2,803.3902,1079.4490,0.0000,728.3039,2023,jan
"Rochester, NY","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"150,000 or More","DOCTORATE DEGREE(EX:PhD,EdD)",Employed-At Work,Male,Married - Spouse Present,5317.6230,3,5548.7560,7926.3071,0.0000,5296.8819,2022,jan
"Louisville/Jefferson County, KY-IN","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"100,000 To 149,999",Not in Universe,Not in Universe,Female,Not in Universe,0.0000,5,3574.4570,0.0000,0.0000,3574.4570,2023,jan
0,"House, Apartment, Flat",Not in Universe,"40,000 To 49,999",Not in Universe,Not in Universe,Female,Not in Universe,0.0000,7,765.7684,0.0000,0.0000,765.7684,2024,jan
"Detroit-Warren-Dearborn, MI","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"75,000 To 99,999","Bachelor's Degree(ex:ba,ab,bs)",Employed-At Work,Male,Never Married,4055.9805,2,4141.6504,0.0000,0.0000,4141.6504,2023,jan
"Shreveport-Bossier City, LA","House, Apartment, Flat",Not in Universe,"150,000 or More",Some College But No Degree,Employed-At Work,Male,Married - Spouse Present,1895.3522,6,1300.6111,0.0000,0.0000,1861.2588,2024,jan
"Worcester, MA-CT","House, Apartment, Flat",Not in Universe,"75,000 To 99,999",High School Grad-Diploma Or Equiv (ged),Employed-At Work,Female,Married - Spouse Present,3470.4094,4,3463.9828,5143.7408,14335.2269,3463.9828,2024,jan
"Bowling Green, KY","House, Apartment, Flat",Not in Universe,"100,000 To 149,999","Bachelor's Degree(ex:ba,ab,bs)",Employed-At Work,Female,Never Married,4533.4934,1,4563.8890,0.0000,0.0000,4563.8890,2024,jan
"Birmingham-Hoover, AL","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"60,000 To 74,999",Some College But No Degree,Other-Not In Labor Force,Male,Never Married,3660.0441,3,3570.3849,5291.8139,0.0000,3570.3849,2023,jan
"Phoenix-Mesa-Scottsdale, AZ","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"5,000 To 7,499","Bachelor's Degree(ex:ba,ab,bs)",Retired-Not In Labor Force,Male,Widowed,3638.9288,1,3628.8971,5378.5372,14461.7652,3628.8971,2023,jan
"Mobile, AL","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"35,000 To 39,999",Some College But No Degree,Employed-At Work,Female,Married - Spouse Present,2078.5410,5,2158.1897,3201.1974,0.0000,2158.1897,2023,jan
0,"House, Apartment, Flat",Rented for cash,"30,000 To 34,999",High School Grad-Diploma Or Equiv (ged),Retired-Not In Labor Force,Female,Married - Spouse Present,3445.5063,2,3446.5283,5158.9875,13867.7495,3446.5283,2022,jan
"Washington-Arlington-Alexandria, DC-VA-MD-WV","House, Apartment, Flat",Not in Universe,"100,000 To 149,999",9th Grade,Employed-Absent,Male,Married - Spouse Present,3080.8757,2,4233.3409,4646.4691,0.0000,3134.9647,2024,jan
"Chico, CA","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"150,000 or More","MASTER'S DEGREE(EX:MA,MS,MEng,MEd,MSW)",Employed-At Work,Male,Never Married,4285.5162,1,4325.4614,6472.6637,0.0000,4325.4614,2022,jan
"Minneapolis-St. Paul-Bloomington, MN-WI","House, Apartment, Flat",Not in Universe,"75,000 To 99,999",Some College But No Degree,Employed-At Work,Female,Never Married,3844.2744,10,3857.8634,5728.6224,0.0000,3857.8634,2024,jan
"Nashville-Davidson--Murfreesboro--Franklin, TN","House, Apartment, Flat",Rented for cash,"35,000 To 39,999",Associate Degree-Occupational/Vocationl,Other-Not In Labor Force,Female,Married - Spouse Present,6128.2075,4,6335.1702,0.0000,0.0000,6335.1702,2022,jan
0,"House, Apartment, Flat",Not in Universe,"10,000 To 12,499",11th Grade,Unemployed-On Layoff,Female,Married - Spouse Present,6129.4351,5,5761.0190,0.0000,0.0000,5761.0190,2024,jan
"Washington-Arlington-Alexandria, DC-VA-MD-WV","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"150,000 or More",Not in Universe,Not in Universe,Male,Not in Universe,0.0000,4,5711.2101,0.0000,0.0000,5711.2101,2022,jan
0,"House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"75,000 To 99,999",High School Grad-Diploma Or Equiv (ged),Employed-At Work,Female,Divorced,2899.6601,4,3010.7735,4465.8172,0.0000,3010.7735,2023,jan
"Washington-Arlington-Alexandria, DC-VA-MD-WV","House, Apartment, Flat",Rented for cash,"150,000 or More","MASTER'S DEGREE(EX:MA,MS,MEng,MEd,MSW)",Employed-At Work,Male,Married - Spouse Present,398.8527,4,339.4596,591.7311,1623.9736,399.2407,2023,jan
"Atlantic City-Hammonton, NJ","House, Apartment, Flat",Rented for cash,"150,000 or More",High School Grad-Diploma Or Equiv (ged),Employed-At Work,Female,Never Married,4554.0578,2,4543.4490,6800.9297,0.0000,4543.4490,2022,jan
"Wichita, KS","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"60,000 To 74,999",Associate Degree-Occupational/Vocationl,Employed-At Work,Male,Married - Spouse Present,1687.9144,2,1500.7482,2541.0730,7019.4401,1698.1128,2022,jan
"Port St. Lucie, FL","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"50,000 To 59,999",Associate Deg.-Academic Program,Employed-At Work,Male,Married - Spouse Present,6641.4168,5,5122.8281,9606.5844,26737.8457,6481.5590,2023,jan
"Madison, WI","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"75,000 To 99,999","MASTER'S DEGREE(EX:MA,MS,MEng,MEd,MSW)",Employed-At Work,Female,Married - Spouse Present,3906.2428,4,4061.6703,6024.5903,0.0000,4061.6703,2023,jan
0,"House, Apartment, Flat",Not in Universe,"150,000 or More","MASTER'S DEGREE(EX:MA,MS,MEng,MEd,MSW)",Retired-Not In Labor Force,Male,Married - Spouse Present,445.5416,4,417.8218,635.6788,1811.6952,428.8914,2024,jan
0,"House, Apartment, Flat",Not in Universe,"35,000 To 39,999",Some College But No Degree,Other-Not In Labor Force,Female,Never Married,4169.2468,9,4039.1227,5997.7781,0.0000,4039.1227,2024,jan
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","House, Apartment, Flat",Not in Universe,"60,000 To 74,999",Some College But No Degree,Employed-At Work,Female,Married - Spouse Present,1017.1597,2,993.2220,0.0000,0.0000,993.2220,2024,jan
"Boston-Cambridge-Newton, MA-NH","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"150,000 or More","MASTER'S DEGREE(EX:MA,MS,MEng,MEd,MSW)",Other-Not In Labor Force,Female,Married - Spouse Present,2898.8374,5,2914.1925,4362.1527,0.0000,2914.1925,2022,jan
0,"House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"75,000 To 99,999","MASTER'S DEGREE(EX:MA,MS,MEng,MEd,MSW)",Employed-Absent,Male,Married-Spouse Absent,1159.1144,1,1169.6678,0.0000,0.0000,1169.6678,2023,jan
"Boise City, ID","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"50,000 To 59,999",High School Grad-Diploma Or Equiv (ged),Employed-At Work,Male,Divorced,1051.6250,3,1034.5669,0.0000,0.0000,1034.5669,2022,jan
"Columbia, SC","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"75,000 To 99,999",Associate Deg.-Academic Program,Employed-At Work,Female,Married - Spouse Present,2453.9545,2,2540.9926,3803.5229,0.0000,2540.9926,2022,jan
"Baltimore-Columbia-Towson, MD","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"150,000 or More",High School Grad-Diploma Or Equiv (ged),Employed-At Work,Male,Never Married,4491.4411,4,4546.9413,6739.2081,0.0000,4546.9413,2023,jan
"Seattle-Tacoma-Bellevue, WA","House, Apartment, Flat",Not in Universe,"100,000 To 149,999",Associate Deg.-Academic Program,Employed-At Work,Female,Married - Spouse Present,3829.5459,5,3829.6999,5686.8018,15210.7150,3829.6999,2024,jan
"Florence, SC","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"40,000 To 49,999","MASTER'S DEGREE(EX:MA,MS,MEng,MEd,MSW)",Retired-Not In Labor Force,Female,Divorced,3230.9935,2,3179.7939,4716.5215,0.0000,3179.7939,2023,jan
0,"House, Apartment, Flat",Not in Universe,"75,000 To 99,999",Some College But No Degree,Retired-Not In Labor Force,Male,Married - Spouse Present,2108.0131,2,2148.8443,3164.6747,8571.7632,2135.2006,2024,jan
"Washington-Arlington-Alexandria, DC-VA-MD-WV","House, Apartment, Flat",Rented for cash,"75,000 To 99,999","MASTER'S DEGREE(EX:MA,MS,MEng,MEd,MSW)",Employed-At Work,Female,Never Married,443.9580,2,448.9519,672.0204,0.0000,448.9519,2022,jan
0,"House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"100,000 To 149,999",High School Grad-Diploma Or Equiv (ged),Retired-Not In Labor Force,Male,Married - Spouse Present,1707.8822,6,1580.0781,0.0000,0.0000,1655.8977,2022,jan
"Washington-Arlington-Alexandria, DC-VA-MD-WV","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"75,000 To 99,999",High School Grad-Diploma Or Equiv (ged),Employed-At Work,Female,Never Married,5078.3326,1,5275.1904,0.0000,0.0000,5275.1904,2023,jan
"Greeley, CO",Mobile Home Or Trlr W/No Perm Rm Added,Not in Universe,"75,000 To 99,999",High School Grad-Diploma Or Equiv (ged),Employed-At Work,Female,Never Married,8657.2257,4,8757.9597,13004.8783,34920.0108,8757.9597,2024,jan
"Miami-Fort Lauderdale-West Palm Beach, FL","House, Apartment, Flat",Rented for cash,"15,000 To 19,999",12th Grade No Diploma,Retired-Not In Labor Force,Male,Widowed,4000.9172,1,4018.4477,0.0000,0.0000,4018.4477,2022,jan
"Raleigh, NC",Mobile Home Or Trlr W/No Perm Rm Added,Owned Or Being Bought By A Hh Member,"20,000 To 24,999",9th Grade,Employed-At Work,Male,Married - Spouse Present,5214.6105,9,4225.7830,7858.3249,0.0000,5251.4518,2022,jan
"San Jose-Sunnyvale-Santa Clara, CA","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"60,000 To 74,999",Some College But No Degree,Retired-Not In Labor Force,Female,Widowed,3749.8484,2,3759.9550,5577.0623,0.0000,3759.9550,2023,jan
"Raleigh, NC","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"30,000 To 34,999",Associate Deg.-Academic Program,Other-Not In Labor Force,Female,Married - Spouse Present,4165.4452,6,4175.2857,6249.8390,16821.1381,4175.2857,2022,jan
"Vallejo-Fairfield, CA","House, Apartment, Flat",Not in Universe,"50,000 To 59,999",9th Grade,Other-Not In Labor Force,Male,Never Married,0.0000,4,4983.3785,0.0000,0.0000,4983.3785,2024,jan
"Washington-Arlington-Alexandria, DC-VA-MD-WV","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"150,000 or More","Bachelor's Degree(ex:ba,ab,bs)",Employed-At Work,Female,Married - Spouse Present,4355.0981,4,4304.1870,6384.3102,0.0000,4304.1870,2023,jan
"Seattle-Tacoma-Bellevue, WA","House, Apartment, Flat",Not in Universe,"150,000 or More","Bachelor's Degree(ex:ba,ab,bs)",Employed-At Work,Male,Married - Spouse Present,4247.7400,4,4584.0724,0.0000,0.0000,4262.7306,2024,jan
"Los Angeles-Long Beach-Anaheim, CA","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"75,000 To 99,999","MASTER'S DEGREE(EX:MA,MS,MEng,MEd,MSW)",Employed-At Work,Female,Married - Spouse Present,3446.3589,4,3439.0904,5101.1305,0.0000,3439.0904,2023,jan
"Indianapolis-Carmel-Anderson, IN","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"50,000 To 59,999",Not in Universe,Not in Universe,Female,Not in Universe,0.0000,3,6913.4982,0.0000,0.0000,6913.4982,2022,jan
"Orlando-Kissimmee-Sanford, FL","House, Apartment, Flat",Not in Universe,"25,000 To 29,999",Some College But No Degree,Employed-At Work,Male,Never Married,4659.9021,5,4781.9507,7087.5396,19190.5391,4781.9507,2024,jan
"Las Cruces, NM","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"150,000 or More","Bachelor's Degree(ex:ba,ab,bs)",Retired-Not In Labor Force,Male,Married - Spouse Present,935.7064,2,947.1425,1432.9516,3718.6677,966.8120,2023,jan
"Los Angeles-Long Beach-Anaheim, CA","House, Apartment, Flat",Not in Universe,"10,000 To 12,499",Not in Universe,Not in Universe,Male,Not in Universe,0.0000,4,6383.4535,0.0000,0.0000,6383.4535,2024,jan
0,"House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"75,000 To 99,999",7th Or 8th Grade,Other-Not In Labor Force,Female,Never Married,0.0000,5,386.6246,0.0000,0.0000,386.6246,2022,jan
"Montgomery, AL","House, Apartment, Flat",Rented for cash,"35,000 To 39,999",Not in Universe,Not in Universe,Male,Not in Universe,0.0000,4,4464.9565,0.0000,0.0000,4464.9565,2023,jan
"Salt Lake City, UT","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"150,000 or More","Bachelor's Degree(ex:ba,ab,bs)",Employed-At Work,Female,Married - Spouse Present,1836.1228,2,1833.0641,0.0000,0.0000,1833.0641,2022,jan
0,"House, Apartment, Flat",Not in Universe,"60,000 To 74,999",High School Grad-Diploma Or Equiv (ged),Employed-At Work,Male,Married - Spouse Present,845.0323,4,393.3530,1246.6327,0.0000,841.1009,2024,jan
"New York-Newark-Jersey City, NY-NJ-PA","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"150,000 or More",Not in Universe,Not in Universe,Female,Not in Universe,0.0000,4,4323.3972,0.0000,0.0000,4323.3972,2023,jan
"Ogden-Clearfield, UT","House, Apartment, Flat",Rented for cash,"50,000 To 59,999",High School Grad-Diploma Or Equiv (ged),Other-Not In Labor Force,Male,Never Married,2265.4260,4,2559.3360,3829.8159,8722.9142,2559.3360,2022,jan
"Burlington-South Burlington, VT","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"100,000 To 149,999","Bachelor's Degree(ex:ba,ab,bs)",Employed-At Work,Male,Never Married,549.1501,3,549.3503,822.0532,0.0000,549.3503,2022,jan
"Urban Honolulu, HI","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"100,000 To 149,999","MASTER'S DEGREE(EX:MA,MS,MEng,MEd,MSW)",Retired-Not In Labor Force,Female,Married - Spouse Present,817.5694,2,831.6656,0.0000,0.0000,831.6656,2023,jan
"Lafayette-West Lafayette, IN","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"100,000 To 149,999","Bachelor's Degree(ex:ba,ab,bs)",Retired-Not In Labor Force,Female,Married - Spouse Present,3279.0126,3,3240.3588,4850.3797,0.0000,3240.3588,2022,jan
"Toledo, OH","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"35,000 To 39,999",High School Grad-Diploma Or Equiv (ged),Retired-Not In Labor Force,Male,Married - Spouse Present,3973.0566,2,3424.2367,0.0000,0.0000,3895.7585,2023,jan
"Greensboro-High Point, NC","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"150,000 or More",Not in Universe,Not in Universe,Female,Not in Universe,0.0000,3,3920.9212,0.0000,0.0000,3920.9212,2023,jan
"Dallas-Fort Worth-Arlington, TX","House, Apartment, Flat",Not in Universe,"15,000 To 19,999",High School Grad-Diploma Or Equiv (ged),Retired-Not In Labor Force,Female,Widowed,4258.9997,2,4165.3138,6185.1619,16874.7359,4165.3138,2024,jan
0,"House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"150,000 or More",Not in Universe,Not in Universe,Female,Not in Universe,0.0000,4,2281.8845,0.0000,0.0000,2281.8845,2022,jan
"Pine Bluff, AR","House, Apartment, Flat",Occupied without payment of cash rent,"35,000 To 39,999","Bachelor's Degree(ex:ba,ab,bs)",Employed-At Work,Female,Never Married,1760.6898,1,1775.4470,2633.4832,6674.5692,1775.4470,2023,jan
"Atlanta-Sandy Springs-Roswell, GA","House, Apartment, Flat",Rented for cash,"20,000 To 24,999",Not in Universe,Not in Universe,Male,Not in Universe,0.0000,3,4590.6996,0.0000,0.0000,4590.6996,2022,jan
"Urban Honolulu, HI","House, Apartment, Flat",Rented for cash,"100,000 To 149,999",Not in Universe,Not in Universe,Male,Not in Universe,0.0000,6,1113.9116,0.0000,0.0000,1113.9116,2022,jan
0,"House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"40,000 To 49,999",Associate Deg.-Academic Program,Other-Not In Labor Force,Female,Never Married,1030.6568,3,993.3299,1486.8807,0.0000,993.3299,2022,jan
"Urban Honolulu, HI","House, Apartment, Flat",Not in Universe,"20,000 To 24,999",Not in Universe,Not in Universe,Female,Not in Universe,0.0000,7,742.8731,0.0000,0.0000,742.8731,2024,jan
0,"House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"75,000 To 99,999",Some College But No Degree,Employed-At Work,Female,Married - Spouse Present,394.3232,3,392.3284,587.2627,1611.0836,392.3284,2022,jan
"Ocala, FL","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"50,000 To 59,999",7th Or 8th Grade,Retired-Not In Labor Force,Female,Married - Spouse Present,3865.5227,2,3994.0281,5924.2580,0.0000,3994.0281,2023,jan
0,"House, Apartment, Flat",Rented for cash,"30,000 To 34,999",9th Grade,Other-Not In Labor Force,Male,Never Married,2003.8953,4,2002.1419,2967.4566,8205.2117,2002.1419,2023,jan
"Seattle-Tacoma-Bellevue, WA","House, Apartment, Flat",Rented for cash,"25,000 To 29,999",Some College But No Degree,Other-Not In Labor Force,Female,Widowed,3340.4361,1,3379.3661,5012.5428,0.0000,3379.3661,2023,jan
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC","House, Apartment, Flat",Not in Universe,"20,000 To 24,999",12th Grade No Diploma,Retired-Not In Labor Force,Male,Married - Spouse Present,2840.9295,2,3018.4192,4197.8576,0.0000,2832.2873,2024,jan
"Baltimore-Columbia-Towson, MD","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"30,000 To 34,999",High School Grad-Diploma Or Equiv (ged),Retired-Not In Labor Force,Female,Widowed,4130.3288,2,4086.5310,6116.9852,0.0000,4086.5310,2022,jan
"Fort Smith, AR-OK","House, Apartment, Flat",Not in Universe,"150,000 or More","Bachelor's Degree(ex:ba,ab,bs)",Employed-At Work,Male,Married - Spouse Present,1609.6789,5,1491.0077,2345.0161,0.0000,1582.1783,2024,jan
0,"House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"100,000 To 149,999",High School Grad-Diploma Or Equiv (ged),Employed-At Work,Male,Divorced,346.0668,4,338.7180,502.0278,0.0000,338.7180,2023,jan
0,"House, Apartment, Flat",Not in Universe,"35,000 To 39,999",High School Grad-Diploma Or Equiv (ged),Employed-At Work,Male,Never Married,3257.8501,1,3212.2998,4761.0908,12454.3765,3212.2998,2024,jan
"Washington-Arlington-Alexandria, DC-VA-MD-WV","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"150,000 or More","Bachelor's Degree(ex:ba,ab,bs)",Employed-At Work,Male,Never Married,4200.4752,2,4212.9130,0.0000,0.0000,4212.9130,2022,jan
0,"House, Apartment, Flat",Not in Universe,"20,000 To 24,999",12th Grade No Diploma,Other-Not In Labor Force,Male,Never Married,1470.6198,2,1477.0962,2189.2692,5741.0496,1477.0962,2024,jan
0,"House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"10,000 To 12,499",High School Grad-Diploma Or Equiv (ged),Retired-Not In Labor Force,Male,Divorced,3655.6916,1,3791.6358,0.0000,0.0000,3791.6358,2023,jan
"Birmingham-Hoover, AL","House, Apartment, Flat",Not in Universe,"50,000 To 59,999","DOCTORATE DEGREE(EX:PhD,EdD)",Retired-Not In Labor Force,Female,Widowed,1774.1957,1,1731.0033,2570.4031,0.0000,1731.0033,2024,jan
0,"House, Apartment, Flat",Not in Universe,"150,000 or More",High School Grad-Diploma Or Equiv (ged),Employed-At Work,Male,Married - Spouse Present,525.1198,2,582.0345,0.0000,0.0000,548.6661,2024,jan
0,"House, Apartment, Flat",Rented for cash,"50,000 To 59,999",High School Grad-Diploma Or Equiv (ged),Disabled-Not In Labor Force,Male,Divorced,5488.5341,5,5775.2104,8642.0825,0.0000,5775.2104,2022,jan
"St. Louis, MO-IL","House, Apartment, Flat",Not in Universe,"75,000 To 99,999",10th Grade,Employed-At Work,Female,Married - Spouse Present,4101.0446,2,4136.7514,6142.7490,0.0000,4136.7514,2024,jan
0,"House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"75,000 To 99,999",High School Grad-Diploma Or Equiv (ged),Retired-Not In Labor Force,Male,Married - Spouse Present,538.8652,2,509.6507,843.8803,0.0000,563.9366,2022,jan
0,"House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"100,000 To 149,999",Some College But No Degree,Employed-At Work,Male,Married - Spouse Present,1382.0690,2,2025.0945,0.0000,0.0000,1394.7847,2022,jan
"Bridgeport-Stamford-Norwalk, CT","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"20,000 To 24,999",Not in Universe,Not in Universe,Female,Not in Universe,0.0000,4,6414.2314,0.0000,0.0000,6414.2314,2022,jan
"Urban Honolulu, HI","House, Apartment, Flat",Not in Universe,"150,000 or More",High School Grad-Diploma Or Equiv (ged),Retired-Not In Labor Force,Male,Married - Spouse Present,832.5653,7,805.5050,1207.7093,3385.4403,814.8394,2024,jan
"Des Moines-West Des Moines, IA","House, Apartment, Flat",Not in Universe,"150,000 or More","Bachelor's Degree(ex:ba,ab,bs)",Unemployed-Looking,Male,Married - Spouse Present,2783.3886,5,2812.5417,3747.9504,12943.7478,2528.7357,2024,jan
"San Jose-Sunnyvale-Santa Clara, CA","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"150,000 or More","Bachelor's Degree(ex:ba,ab,bs)",Employed-At Work,Female,Married - Spouse Present,3703.3366,4,3751.6990,5615.7870,0.0000,3751.6990,2022,jan
"New York-Newark-Jersey City, NY-NJ-PA","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"150,000 or More",Not in Universe,Not in Universe,Male,Not in Universe,0.0000,6,3196.3832,0.0000,0.0000,3196.3832,2022,jan
0,"House, Apartment, Flat",Rented for cash,"60,000 To 74,999",High School Grad-Diploma Or Equiv (ged),Retired-Not In Labor Force,Male,Married - Spouse Present,4193.3923,2,4308.2110,6223.3388,0.0000,4198.8845,2023,jan
0,"House, Apartment, Flat",Rented for cash,"40,000 To 49,999",Some College But No Degree,Disabled-Not In Labor Force,Male,Separated,1543.6004,4,1762.8955,2638.0145,0.0000,1762.8955,2022,jan
0,"House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"75,000 To 99,999",10th Grade,Other-Not In Labor Force,Female,Never Married,3159.2054,3,3106.1924,4649.5507,12779.2481,3106.1924,2022,jan
0,"House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"100,000 To 149,999",High School Grad-Diploma Or Equiv (ged),Employed-At Work,Male,Married - Spouse Present,416.9290,2,378.1937,620.2030,0.0000,414.4606,2022,jan
"Lakeland-Winter Haven, FL","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"60,000 To 74,999",High School Grad-Diploma Or Equiv (ged),Retired-Not In Labor Force,Female,Married - Spouse Present,5091.2688,3,5163.2449,7658.5328,0.0000,5163.2449,2023,jan
"New York-Newark-Jersey City, NY-NJ-PA","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"100,000 To 149,999","MASTER'S DEGREE(EX:MA,MS,MEng,MEd,MSW)",Retired-Not In Labor Force,Female,Widowed,3673.9296,1,3748.8673,5611.5482,14787.1259,3748.8673,2022,jan
"Boston-Cambridge-Newton, MA-NH","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"150,000 or More","Bachelor's Degree(ex:ba,ab,bs)",Other-Not In Labor Force,Female,Married - Spouse Present,1031.7603,4,1063.5704,0.0000,0.0000,1063.5704,2022,jan
"Dallas-Fort Worth-Arlington, TX","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"150,000 or More","Bachelor's Degree(ex:ba,ab,bs)",Other-Not In Labor Force,Female,Married - Spouse Present,4577.4593,6,4053.4700,0.0000,0.0000,4053.4700,2023,jan
0,"House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"50,000 To 59,999","Bachelor's Degree(ex:ba,ab,bs)",Other-Not In Labor Force,Female,Married - Spouse Present,3981.5931,4,4115.8350,0.0000,0.0000,4115.8350,2023,jan
